1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
71179.0699,71477.08651,71308.99757,70963.89343,70731.05984,70413.13751,69364.04842,68753.94625,68069.82739,67438.50921,67292.63573,66109.57522,65306.87248,65321.55894,64399.35282,64175.38745
63943.97974,64546.75451,65088.51229,64207.29235,63771.71524,63313.96009,62789.47124,62561.53568,62790.51382,62392.82755,62262.41284,62456.92346,61966.60688,62308.32951,61753.90115,61490.09314
61845.84319,61725.40174,61427.61078,62214.66303,62202.2389,63242.93799,63925.85126,64542.88791,64953.43076,65805.92715,65684.80578,65823.0831,65903.41233,66355.17783,67060.07077,67433.85533
65814.81473,66384.00185,66474.51082,66053.65154,66906.53277,65774.56383,66720.722,65449.39866,65324.2853,65128.06234,64687.99027,63009.67704,61702.12681,59966.20545,57889.30262,57357.93161
57840.04117,57781.96309,59292.74076,59964.82768,59860.95883,60723.37983,61218.13884,61702.25175,61533.22488,62896.82087,62723.76342,63299.2785,64368.72533,64773.60425,65807.43009,67072.52057
68379.47235,69270.84139,69658.25242,69181.16974,67523.04425,68166.49476,68308.14989,68588.79566,68656.43569,69706.61123,69820.268,71305.14495,71066.11116,70970.89125,70730.49599,69699.75449
69657.67708,69402.16039,69605.48232,69096.80375,69657.05239,69492.41121,68760.46246,67620.98993,67576.79296,67176.64147,66016.07051,65492.66921,65602.23324,64331.83284,64655.10838,64331.83284
63469.38644,64444.1974,64856.25619,64976.4059,64475.12767,63654.5288,63816.17301,63512.23982,62965.36926,62710.87532,62806.06659,61882.37142,61483.85408,61475.05456,61498.27372,61187.98096
60595.53636,60791.32991,61188.15582,60536.04678,60954.00704,62308.01865,62803.60927,63219.29586,64647.30894,63565.56307,63754.9013,64107.77192,63404.88535,63794.66608,62633.06099,63568.95452
62172.30222,61425.08067,61454.22717,61891.48809,61602.22184,62406.06802,62617.10376,62869.97441,62861.02374,63661.5288,63745.30058,62969.4563,61995.9807,61000.13302,59730.41905,59730.41905
50315.36792,58252.42824,59038.49874,60401.49717,60960.64135,62768.11373,63226.89765,63142.34037,62931.70522,63112.30314,63236.74186,63137.93969,64487.52595,65289.64373,65813.98158,67235.20094
